ASN	NumberofUsers	Country	%ofCountry
4538	2628813	CN	0.35
14061	2601734	US	0.89
3301	2590201	SE	27.71
12876	2540329	FR	4.49
11664	2500659	AR	8.03
25159	2500238	RU	2.44
9674	2437178	TW	12.87
26611	2436933	CO	8.6
38019	2430923	CN	0.33
2860	2416455	PT	34.99
23724	2410896	CN	0.33
136200	2392990	CN	0.32
12271	2390033	US	0.82
37069	2385707	EG	7.17
10481	2381019	AR	7.64
8402	2370481	RU	2.31
29614	2335601	GH	27.44
12912	2334575	PL	8.47
31133	2320277	RU	2.26
8386	2316804	TR	4.82
9105	2280051	GB	3.68
11888	2245869	MX	3.77
133481	2228711	TH	7.53
47524	2201233	TR	4.58
14754	2196763	GT	47.34
132165	2195023	PK	6.05
41202	2187920	UZ	13.11
51207	2184996	IT	5.62
264731	2163783	VE	11.43
12455	2162051	KE	9.25
27882	2156812	BO	46.25
30036	2155228	US	0.74
48503	2147484	KZ	20.73
18209	2130182	IN	0.45
41330	2105085	RU	2.05
7029	2102653	US	0.72
6830	2074433	NL	12.93
36907	2064068	AO	28.42
3243	2059452	PT	29.82
3292	2055093	DK	36.98
133982	2005391	IN	0.42
17638	2000699	CN	0.27
28885	1998067	OM	56.34
6057	1986392	UY	87.83
12876	1975156	GB	3.19
14061	1970755	DE	2.72
24139	1913293	CN	0.26
6871	1896684	GB	3.06
30992	1896056	CM	41.83
5610	1880645	CZ	20.01
12357	1871019	ES	4.9
24940	1864647	DE	2.57
131429	1861153	VN	3.68
37705	1861125	TN	32.9
19429	1852776	CO	6.54
8400	1847249	RS	39.14
6830	1847093	PL	6.7
28126	1844833	BR	1.31
23201	1841670	PY	56.5
49273	1827573	UZ	10.95
45916	1823575	IN	0.38
17501	1823127	NP	35.48
18126	1813907	JP	1.57
45245	1795052	BD	8.11
134810	1792490	CN	0.24
23700	1786058	ID	3.25
37287	1765119	ZM	51.54
23860	1758274	IN	0.37
24961	1757518	DE	2.42
719	1750151	FI	34.04
28469	1727370	MX	2.9
36912	1724666	CM	38.05
27651	1718998	CL	12.07
23944	1713398	PH	3.65
37168	1710886	ZA	5.68
34170	1685390	AZ	27.58
35228	1673607	GB	2.7
25513	1668344	RU	1.63
48190	1665857	RU	1.62
28006	1659529	EC	22.58
327712	1656641	DZ	19.76
17506	1638213	JP	1.42
28509	1637733	MX	2.75
6855	1635583	SK	36.37
31213	1624139	RU	1.58
12353	1621680	PT	23.48
4771	1613341	NZ	37.72
21497	1600397	UA	8.28
31163	1591416	RU	1.55
2519	1577247	JP	1.36
2119	1573252	NO	29.78
37105	1573209	ZA	5.22
6568	1558041	BO	33.41
5378	1547853	GB	2.5
37190	1522367	CI	27.25
48832	1522254	JO	33.09
30985	1521438	ML	63.74
48092	1515497	RU	1.48
25106	1496260	BY	25.99
37594	1493764	SS	66.2
12083	1482413	US	0.51
9617	1480073	JP	1.28
17557	1478650	PK	4.08
8953	1471358	RO	13.01
37645	1458078	AO	20.08
33779	1449809	DZ	17.29
37693	1443413	TN	25.52
37611	1442413	ZA	4.79
37204	1430349	ZW	39.55
27947	1428540	EC	19.44
2497	1420695	JP	1.23
20845	1419215	HU	18.31
42298	1414457	QA	56.12
28118	1406108	DO	24.73
36974	1390372	CI	24.88
37963	1381101	CN	0.19
17962	1375578	CN	0.19
39651	1375105	SE	14.71
37340	1371935	NG	1.49
2119	1359346	SE	14.54
28884	1352545	RU	1.32
5391	1340875	HR	43.59
52341	1333244	CL	9.36
14061	1328786	GB	2.15
134426	1326149	IN	0.28
327931	1325721	DZ	15.81
10010	1323690	JP	1.14
16086	1322115	FI	25.72
45356	1306113	LK	21.22
206026	1300815	KZ	12.56
6730	1286046	CH	17.15
50010	1285518	OM	36.25
8447	1261345	AT	17.75
206067	1257090	GB	2.03
25255	1253731	AT	17.64
15378	1247264	RU	1.22
1759	1242641	FI	24.17
28787	1240864	AZ	20.31
10474	1238287	ZA	4.11
7438	1235095	MX	2.07
4760	1231982	HK	22.23
11492	1228515	US	0.42
6830	1227622	HU	15.84
21575	1227312	PE	9.11
14754	1223128	SV	49.6
133287	1209152	IN	0.25
64466	1200341	UZ	7.19
12302	1194189	RO	10.56
37020	1193704	CD	35.52
6849	1190875	UA	6.16
9038	1189105	JO	25.85
6830	1188260	CZ	12.64
45758	1183444	TH	4.0
25135	1180160	GB	1.91
8551	1171087	IL	18.88
262210	1167623	PE	8.67
3786	1152415	KR	2.62
12978	1140283	TR	2.37
31195	1134290	RU	1.11
3329	1129607	GR	15.66
4685	1126076	JP	0.97
9269	1125236	HK	20.3
56167	1114058	PK	3.07
47589	1106165	KW	32.61
55577	1106018	IN	0.23
45543	1103341	VN	2.18
2510	1101381	JP	0.95
50810	1099760	IR	2.72
6535	1098731	CL	7.71
10396	1095238	PR	36.18
8228	1088394	FR	1.93
1680	1087624	IL	17.53
31205	1082312	RU	1.05
9145	1081138	DE	1.49
13036	1079343	CZ	11.49
2514	1077618	JP	0.93
262186	1077571	CO	3.8
12735	1074675	TR	2.24
31042	1072016	RS	22.71
36962	1067728	ZM	31.18
6830	1066547	AT	15.0
9506	1065988	SG	22.06
6621	1063297	US	0.37
8412	1059892	AT	14.91
53006	1058681	BR	0.75
42437	1053388	RU	1.03
8866	1046515	BG	25.56
42961	1039359	KW	30.64
9050	1034780	RO	9.15
16010	1033842	GE	50.07
12392	1029433	BE	10.07
29357	1029003	KW	30.34
133612	1028783	AU	4.83
47377	1017657	BE	9.95
9329	1009915	LK	16.41
17665	1008775	IN	0.21
34058	1007271	UA	5.21
31224	1006878	RU	0.98
6739	999278	ES	2.62
855	985645	CA	2.99
52362	977984	GT	21.08
24186	975033	IN	0.21
7992	972509	CA	2.95
29355	965696	KZ	9.32
15802	963202	AE	10.86
27901	962035	CL	6.75
11315	960090	AR	3.08
21502	958784	FR	1.7
138384	957576	JP	0.83
55714	954160	PK	2.63
42772	951272	BY	16.52
9443	951255	AU	4.47
23243	945985	GT	20.39
6614	945258	US	0.33
21826	944824	VE	4.99
63949	942214	JP	0.81
6830	936483	RO	8.28
8376	935658	JO	20.34
3216	933151	RU	0.91
7679	932363	JP	0.81
37030	932116	GH	10.95
37492	932035	TN	16.48
28840	930668	RU	0.91
37453	929768	CD	27.67
12741	925897	PL	3.36
6167	911921	US	0.31
15975	910481	PS	28.15
9500	910101	NZ	21.28
264668	910035	EC	12.38
24157	909766	TW	4.8
18809	904564	PA	47.49
25543	902378	BF	43.79
14638	900431	PR	29.75
21299	899553	KZ	8.69
29314	895984	PL	3.25
328580	894624	NG	0.97
37577	891325	BF	43.26
45102	886289	CN	0.12
45769	883294	IN	0.19
6830	879496	CH	11.73
1257	876605	SE	9.38
14618	876381	US	0.3
11830	874245	CR	31.06
8764	861263	LT	38.93
16960	858232	MX	1.44
10429	848295	BR	0.6
3737	848285	US	0.29
42610	842933	RU	0.82
4721	842197	JP	0.73
11845	838875	ZA	2.78
18207	838361	IN	0.18
6079	837448	US	0.29
37342	828946	MZ	41.48
17747	827401	IN	0.17
30689	824741	JM	65.41
55430	812606	SG	16.81
134762	811615	CN	0.11
36866	809418	KE	3.46
6830	804768	IE	20.54
25472	799526	GR	11.09
29695	798404	NO	15.11
4809	794640	CN	0.11
12632	792695	RO	7.01
30969	791901	ZW	21.9
8697	789842	JO	17.17
4181	786943	US	0.27
15502	782603	IE	19.97
1241	774022	GR	10.73
9009	773874	US	0.27
5466	773014	IE	19.73
37035	772387	TZ	24.08
21271	770289	ML	32.27
36908	766761	TZ	23.9
20661	763496	TM	88.86
53037	761385	BR	0.54
21021	760313	PL	2.76
16591	759585	US	0.26
25229	759535	UA	3.93
57269	758019	ES	1.99
15962	754644	SK	16.78
133696	749495	IN	0.16
198471	741855	IT	1.91
18229	741830	IN	0.16
134543	739645	CN	0.1
14754	736579	NI	59.91
42003	736556	LB	15.9
17917	729641	IN	0.15
5416	725074	BH	48.67
38247	720269	VN	1.42
27895	719553	PY	22.08
39811	719061	RU	0.7
8422	718746	DE	0.99
24955	718410	RU	0.7
265540	712665	MX	1.2
23752	706256	NP	13.74
37054	705620	MG	61.18
8926	702606	MD	36.37
5645	701285	CA	2.13
27653	701235	HT	51.66
14061	699279	NL	4.36
37637	696475	NG	0.76
17754	695502	IN	0.15
27995	695060	CL	4.88
35725	694923	RO	6.14
12400	685839	IL	11.05
22884	683969	MX	1.15
20453	682350	CA	2.07
38819	680317	HK	12.27
11232	679721	US	0.23
132116	679598	IN	0.14
37440	676719	MW	53.11
9930	669707	MY	3.02
12793	669644	AT	9.42
16019	669560	CZ	7.12
12338	669055	ES	1.75
327885	667722	TZ	20.81
58895	665651	PK	1.83
131269	662124	IN	0.14
12714	661228	RU	0.64
38623	660091	KH	36.18
134772	658082	CN	0.09
15169	657827	US	0.23
136334	657084	IN	0.14
23674	654082	PK	1.8
9365	653248	JP	0.56
21003	652661	LY	47.24
28812	650488	RU	0.63
45194	649408	IN	0.14
63949	648906	DE	0.89
36994	647430	ZA	2.15
36890	646438	RW	40.93
17882	644802	MN	57.35
13335	644587	DE	0.89
138655	639335	PK	1.76
50251	634366	KG	29.73
136969	631987	PK	1.74
45528	628382	IN	0.13
33588	627738	US	0.22
7497	626021	CN	0.08
6821	625222	MK	43.3
35612	623678	IT	1.6
12626	620664	FR	1.1
11776	618642	US	0.21
7522	615912	JP	0.53
29247	614511	GR	8.52
9009	614348	DE	0.85
12849	612709	IL	9.88
17465	610284	IN	0.13
27773	609052	SV	24.7
28210	603183	BR	0.43
31208	600331	RU	0.58
8767	600092	DE	0.83
9116	599243	IL	9.66
37223	597936	MZ	29.92
8473	597802	SE	6.4
134774	596314	CN	0.08
803	594601	CA	1.81
27813	591215	AR	1.9
52260	589462	HT	43.43
4764	589454	AU	2.77
4773	588213	SG	12.17
6181	585408	US	0.2
16735	584970	BR	0.42
15796	581774	CH	7.76
16276	580248	CA	1.76
45184	579352	IN	0.12
37133	579187	TZ	18.05
38226	576011	IN	0.12
15964	573425	CM	12.65
48728	572915	QA	22.73
7155	571429	US	0.2
5438	570686	TN	10.09
16116	570587	IL	9.2
41164	570304	NO	10.79
9146	567946	BA	26.34
30844	567697	KE	2.43
9158	566322	DK	10.19
28545	565708	MX	0.95
6939	565440	US	0.19
45650	564978	NP	10.99
15774	564511	RU	0.55
56696	560855	ZW	15.51
27738	558325	EC	7.6
29119	558020	ES	1.46
50266	557666	NL	3.48
4007	556687	NP	10.83
23487	556623	EC	7.57
37447	554898	CD	16.51
22995	550891	CA	1.67
35753	549668	SA	2.5
327952	548499	NG	0.6
63859	548477	ID	1.0
8448	547361	HU	7.06
25144	546557	BA	25.34
28554	546311	MX	0.92
45498	545586	KH	29.9
29544	545015	MR	68.74
9009	543717	GB	0.88
8369	541321	RU	0.53
58969	539144	IN	0.11
201019	539008	PL	1.96
1901	537940	AT	7.57
6503	534109	MX	0.9
14117	531873	CL	3.73
14868	529443	BR	0.38
11556	529178	PA	27.78
27364	528522	US	0.18
37376	528495	SS	23.42
37061	527832	KE	2.26
8612	527090	IT	1.36
36923	526811	NG	0.57
8781	526694	QA	20.9
9231	525665	HK	9.48
35805	524185	GE	25.39
38264	523653	PK	1.44
27889	523448	VE	2.76
17670	523232	ID	0.95
16276	522120	GB	0.84
131267	521911	LA	47.2
38322	519946	MY	2.34
58678	519065	IN	0.11
8717	516184	BG	12.61
12975	512664	PS	15.85
22616	509969	US	0.18
262928	508330	CO	1.79
174	506683	US	0.17
59989	502372	LB	10.85
135887	501711	AU	2.36
14522	501427	EC	6.82
9873	501310	LA	45.34
12810	498821	HR	16.22
16299	493947	ES	1.29
23688	493233	BD	2.23
29244	492380	BG	12.02
37649	492251	SN	12.63
21334	487904	HU	6.3
57293	487585	AZ	7.98
131284	487008	AF	19.33
27017	484768	US	0.17
52263	482328	CR	17.14
13127	481324	NL	3.0
15958	480529	RS	10.18
59668	479720	UZ	2.87
13280	478991	IE	12.23
37424	477364	BJ	72.64
27951	477029	CO	1.68
12334	476770	ES	1.25
137689	475976	CN	0.06
52228	472587	CR	16.79
37671	471980	TN	8.34
52262	471819	HN	23.01
44395	468919	AM	32.0
37154	468048	ZM	13.67
20473	466718	US	0.16
3249	466714	EE	39.14
44034	464002	SE	4.96
328088	463858	ZW	12.83
205016	462862	NO	8.76
43197	461967	TJ	26.69
133661	460492	IN	0.1
20207	459592	AR	1.48
9790	459134	NZ	10.73
50223	458038	KG	21.47
18081	455305	JP	0.39
5603	452205	SI	30.16
11404	450706	US	0.15
36991	450361	UG	5.22
11260	449447	CA	1.36
7122	449308	CA	1.36
16509	448118	IN	0.09
134707	446455	PH	0.95
37081	442632	AO	6.09
9924	441153	TW	2.33
9354	440282	JP	0.38
14754	440062	HN	21.46
37294	439023	MW	34.46
14061	438961	SG	9.08
10036	436620	KR	0.99
43612	435215	MK	30.14
31615	435190	NL	2.71
13110	434484	PL	1.58
38742	433508	AF	17.21
4609	432481	MO	93.04
63023	430177	US	0.15
132203	429730	CN	0.06
29555	429152	KZ	4.14
49981	428911	NL	2.67
28075	428660	AR	1.38
36937	427602	ZA	1.42
9051	426819	LB	9.22
20473	424004	JP	0.37
51407	423749	PS	13.1
328453	423633	ZA	1.41
18144	421749	JP	0.36
28186	420314	BR	0.3
3212	420217	SI	28.03
131090	419808	TH	1.42
17451	419184	ID	0.76
4816	417638	CN	0.06
60294	416414	DE	0.57
136525	415882	PK	1.15
9929	412202	CN	0.06
33576	411619	JM	32.65
25117	410542	FR	0.73
11338	409795	BR	0.29
17813	406348	IN	0.09
42560	406017	BA	18.83
44143	405834	RS	8.6
20485	405649	RU	0.4
58460	405610	PG	40.54
51375	404361	BH	27.14
134238	404063	CN	0.05
9416	403762	TW	2.13
39832	401776	ZA	1.33
134419	400895	CN	0.05
58461	399994	CN	0.05
11290	399632	CA	1.21
52361	399553	AR	1.28
6866	398389	CY	46.37
46690	396915	US	0.14
136190	393512	CN	0.05
13188	393238	UA	2.03
37682	392841	NG	0.43
132471	392017	AF	15.56
12578	391633	LV	26.81
55330	391415	AF	15.54
2110	390430	IE	9.97
41733	389309	RU	0.38
37228	389097	RW	24.64
9498	388628	IN	0.08
45775	387556	IN	0.08
45090	387233	CN	0.05
137687	385344	CN	0.05
3255	385287	UA	1.99
133798	385169	ID	0.7
1257	382392	LT	17.28
23889	381766	MU	70.68
4725	380592	JP	0.33
24691	378464	TG	63.64
133720	377906	IN	0.08
18678	377303	CO	1.33
7524	376648	JP	0.33
39832	376263	DE	0.52
262197	374779	CR	13.31
31499	374420	RU	0.36
131591	373235	TW	1.97
23655	370468	NZ	8.66
17924	369607	HK	6.67
54994	366387	US	0.13
31721	366153	AZ	5.99
21928	365463	PR	12.07
55352	365149	IN	0.08
16509	364944	US	0.13
52468	361561	CO	1.28
32780	360339	US	0.12
35807	359741	RU	0.35
20676	359600	DE	0.5
19182	359430	BR	0.26
37680	357789	ZA	1.19
28649	356533	BR	0.25
3549	356422	CO	1.26
27665	355555	TT	37.41
31404	355153	GB	0.57
14061	354426	IN	0.07
2116	353932	NO	6.7
63526	350553	BD	1.58
39232	350521	AZ	5.74
42863	349475	PT	5.06
31252	348859	MD	18.06
21450	348140	IL	5.61
43557	348110	DK	6.26
2609	347654	TN	6.15
1257	347219	HR	11.29
15480	344935	NL	2.15
7470	344388	TH	1.16
28220	344084	BR	0.24
21246	343624	AL	18.63
328471	340912	ZA	1.13
45143	340646	SG	7.05
45804	340200	IN	0.07
29518	338581	SE	3.62
39010	337000	LB	7.28
15943	336959	DE	0.46
15582	336943	RU	0.33
42779	336741	AZ	5.51
45011	336677	SE	3.6
197830	336426	AZ	5.51
63949	336185	US	0.12
15435	335856	NL	2.09
3308	335702	DK	6.04
44869	332288	DK	5.98
30600	331416	US	0.11
44489	329713	CZ	3.51
140061	329273	CN	0.04
136255	329030	MM	24.26
27800	328240	TT	34.54
50608	328134	NO	6.21
9304	327403	HK	5.91
17828	327250	PG	32.71
12361	326831	GR	4.53
9595	326830	JP	0.28
43197	326767	RU	0.32
132618	326656	TH	1.1
14061	326450	CA	0.99
39832	325250	US	0.11
31200	324263	RU	0.32
8075	323673	US	0.11
24722	319208	TJ	18.44
11272	315428	US	0.11
27984	314936	AR	1.01
31452	314569	BH	21.11
3356	313985	US	0.11
28343	312184	BR	0.22
60068	312000	US	0.11
26464	311706	US	0.11
47956	309662	IL	4.99
20057	309126	PR	10.21
206206	308751	IQ	5.91
22724	308515	EC	4.2
42313	308462	AL	16.72
37284	307785	LY	22.28
10013	307742	JP	0.27
328200	307309	LY	22.24
28368	307000	BR	0.22
47139	306719	TJ	17.72
134674	306610	IN	0.06
327738	306207	CD	9.11
20928	304473	EG	0.92
24921	301932	LV	20.67
34296	301608	TR	0.63
136525	301477	ZA	1.0
262468	301012	BR	0.21
24554	299346	IN	0.06
132453	297605	IN	0.06
45814	297143	PK	0.82
3741	296236	ZA	0.98
27839	294699	BO	6.32
39832	294639	GB	0.48
44034	294432	DK	5.3
23650	293986	CN	0.04
13124	293853	BG	7.18
38999	293851	LB	6.34
38565	293765	NP	5.72
10299	293494	CO	1.04
139007	293463	CN	0.04
61461	292939	VE	1.55
17698	292718	JP	0.25
29256	290710	IR	0.72
60339	290662	GB	0.47
263327	289889	BR	0.21
134033	289165	IN	0.06
19114	288772	EC	3.93
28613	287929	BR	0.2
6830	286011	SK	6.36
8100	285540	US	0.1
47237	285114	KG	13.36
197288	283747	DK	5.11
28146	283643	BR	0.2
12297	282516	AM	19.28
15924	282077	TR	0.59
59164	281519	IN	0.06
57513	280692	LB	6.06
12929	280404	NO	5.31
45903	279078	VN	0.55
7459	278997	US	0.1
53813	278469	IN	0.06
45960	278174	MY	1.25
46562	277475	US	0.1
28952	277052	SK	6.16
28202	276677	BR	0.2
42652	275189	DE	0.38
21283	275046	SI	18.35
18002	274538	IN	0.06
36920	273484	NG	0.3
35913	272498	US	0.09
13977	272482	US	0.09
27884	272360	HN	13.28
3265	272003	NL	1.7
43824	271836	LB	5.87
58466	271459	CN	0.04
1547	271372	MD	14.05
9009	270528	JP	0.23
58689	270459	BD	1.22
11664	270422	PY	8.3
6661	270155	LU	47.63
24364	269104	CN	0.04
132045	268415	LK	4.36
38841	266882	TW	1.41
39642	265709	DK	4.78
44391	264289	RU	0.26
37037	263816	MG	22.88
20875	263721	BA	12.23
37341	263349	GH	3.09
21277	263017	IQ	5.03
37094	262985	LR	61.76
9931	262608	TH	0.89
54614	262513	CA	0.8
28598	262513	BR	0.19
29091	262356	NG	0.28
12946	262063	ES	0.69
204170	261131	OM	7.36
19863	261063	GY	83.91
27983	259054	AR	0.83
13194	258996	LT	11.71
10118	257608	HK	4.65
37620	256838	CM	5.67
37463	256555	CD	7.63
9988	256005	MM	18.88
12390	255300	GB	0.41
29170	254791	AL	13.81
28555	253183	MX	0.43
17897	253175	CN	0.03
23184	252305	CA	0.77
8047	250705	US	0.09
132770	248761	IN	0.05
8376	247269	FR	0.44
14988	247076	BW	48.79
51167	245543	DE	0.34
55915	245240	NP	4.77
327756	244887	TD	57.7
14615	244759	US	0.08
37282	244469	NG	0.27
39706	244418	DE	0.34
15146	244416	BS	71.63
10143	244322	AU	1.15
34977	243965	ES	0.64
17976	243956	KH	13.37
262753	243660	BR	0.17
58965	243298	IN	0.05
20473	243031	DE	0.34
37124	242868	RW	15.38
55947	242073	IN	0.05
37531	241987	NE	50.12
45925	241489	BD	1.09
58504	241461	NP	4.7
62904	240762	US	0.08
33567	239659	LS	50.88
38442	238806	FJ	55.61
3326	238227	UA	1.23
56478	236898	GB	0.38
15994	236574	HR	7.69
34718	236281	UZ	1.42
20880	236042	DE	0.33
42682	235852	RU	0.23
