32934	29560000
16509	28750000
714	28700000
8075	21380000
13335	16770000
54113	13950000
20940	11656000
22822	9640000
16276	7510000
46489	5640000
6939	5538000
17676	5420000
6805	4080000
33891	4030000
3209	3760000
7342	3400000
31334	3120000
2516	2942000
39386	2910000
3356	2498000
6461	2405000
9498	2160000
2497	2140000
64049	2140000
328058	2000000
4230	1890000
29990	1860000
19679	1840000
8447	1800000
28604	1750000
2119	1740000
6667	1686000
20115	1680000
9002	1672000
63293	1670000
12389	1660000
2856	1600000
1136	1600000
49544	1536000
2518	1500000
5650	1420000
3216	1398000
15133	1390000
2635	1370000
8966	1354000
4181	1312000
2914	1280000
4637	1241000
1267	1240200
8473	1240000
12552	1240000
226	1220000
55391	1200000
38022	1200000
41095	1171000
6730	1140000
17511	1140000
5607	1140000
57344	1120000
21320	1100000
5578	1070000
2527	1040000
9009	1030000
5400	1026000
6830	1020000
15169	1020000
36459	1020000
37447	1001000
15435	1000000
16086	1000000
265950	1000000
6774	960000
52320	920000
8359	912000
7843	910000
61832	892000
12874	880000
2514	880000
12189	880000
56478	880000
15305	860000
29314	860000
36408	851000
5410	840000
5089	820000
25933	820000
12430	820000
20485	810000
22356	806000
6327	802000
34756	800000
2907	800000
328045	800000
16591	790000
2686	782000
680	770000
12989	760000
2818	750000
15557	750000
28663	744000
6079	740000
2603	740000
1103	732000
61955	730000
5645	720000
4760	720000
13285	710000
58453	710000
45899	710000
12713	700000
11164	700000
15704	700000
38634	700000
1547	694000
32098	652000
13030	650000
7195	650000
15412	644000
12322	610000
47541	610000
38082	604000
1273	600000
24203	600000
18734	600000
327693	600000
23620	600000
62041	600000
35228	560000
6507	560000
4556	560000
202276	560000
9304	556000
13768	538000
8717	530000
6509	526000
52580	502000
11260	500000
46786	500000
24785	500000
37100	490000
23393	482000
36692	482000
3292	480000
11404	480000
3630	480000
25192	462000
3265	460000
23520	460000
9534	460000
20880	460000
4800	446000
786	440000
2711	440000
9824	440000
12479	440000
30722	440000
25506	440000
5588	420000
19151	420000
1257	420000
668	420000
23881	420000
29535	420000
132203	420000
27381	420000
13760	420000
264144	420000
14413	416000
7575	404000
812	400000
16637	400000
5432	400000
9121	400000
35320	400000
6661	400000
39651	400000
42708	400000
47377	400000
2510	400000
262206	400000
2851	400000
15962	400000
22646	400000
23563	400000
11888	400000
40356	400000
137872	400000
17072	400000
9318	398000
8657	380000
50384	380000
9680	370000
12083	360000
20504	360000
15802	360000
38091	360000
6057	350000
53180	350000
12714	347000
11232	340000
23576	340000
30600	340000
6128	340000
4134	330000
4739	330000
5378	330000
34224	325000
42525	322000
43531	322000
28368	322000
8529	320000
1741	320000
37662	320000
8426	314000
18403	310000
34984	310000
53013	310000
5413	304000
31500	304000
37271	304000
55818	302200
28580	302000
396253	301000
59605	292000
7738	282000
13037	280000
2852	280000
23184	280000
4685	280000
26615	280000
7545	274000
9269	270000
30517	270000
47764	270000
9505	262000
109	261000
12200	260000
4766	260000
7029	260000
3255	260000
29119	260000
197595	260000
40788	260000
28146	260000
52941	260000
200981	260000
14630	260000
702	255200
3327	254000
18081	250000
3741	246100
2116	242000
262503	242000
2828	240000
7795	240000
31027	240000
4648	240000
